Region_of_Incident,Cause_of_Death,CausesOfDeathPerRegion
Central America,Hit by train,"Vehicle Accident,Fell from train,Hit by train,Injuries,Murder,Violence,Struck by train,Shot,Drowning,Fall from train,Suicide,Stabbed,Sickness and lack of access to medicines,Cardiac arrest,Tortured,Murdered,Heart attack,Hanging,Pneumonia,Dehydration,Hit by car,Unknown(decomposed remains),Train Accident,Electrocution on railway,Crushed by stones(train),Excessive Physical Abuse, Rape,Asphyxiation,Cervical cancer,Respiratory illness,Pulmonary edema and renal insufficiency,Poison,Murdered,Unknown(found dead next to train tracks),Unknown(skeletal remains),Hyperthermia,Digestive bleeding,Injuries from boat motor,Fall from boat"
Sub-Saharan Africa,Sickness and lack of access to medicine,"Shot,Vehicle accident,Drowning,Sickness and lack of access to medicine,Thirst,Unknown(mummified remains),Dehydration,Starvation,Suffocation,Harsh weather/lack of adequate shelter,Stabbed,Sexual abuse,Excessive Physical Abuse,Malnutrition,Violence while attempting to board boat,Killed by hippoptamus,Post-partum complications,Exposure"
Mediterranean,Drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
Mediterranean,Drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
Europe,Unknown,"Shot,Suffocation,Vehicle accident,Exposure,Unknown(decomposed remains),Hit by train,Plane stowaway,Fall into a mountain crevice,Drowning,Hit by vehicle,Electrocution on railway,Hypothermia,Head injury,Violence,Fell from truck,Burned,Fall from vehicle,Fire,Sickness and lack of access to medicines,Murdered,Exhaustion,Rockslide,Crushed by bus,Hit by truck,Asphyxiation,Crushed in back of truck,Fall,Hypoglycemia,Train Accident,Electrocution,Fall from train,Suicide,Hit by car,Accident(non-vehicle),Crushed,Organ failure,Cardiac arrest,Fall onto train tracks,Harsh conditions,Hyperthermia"
US-Mexico Border,Unknown,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
Central America,Vehicle Accident,"Vehicle Accident,Fell from train,Hit by train,Injuries,Murder,Violence,Struck by train,Shot,Drowning,Fall from train,Suicide,Stabbed,Sickness and lack of access to medicines,Cardiac arrest,Tortured,Murdered,Heart attack,Hanging,Pneumonia,Dehydration,Hit by car,Unknown(decomposed remains),Train Accident,Electrocution on railway,Crushed by stones(train),Excessive Physical Abuse, Rape,Asphyxiation,Cervical cancer,Respiratory illness,Pulmonary edema and renal insufficiency,Poison,Murdered,Unknown(found dead next to train tracks),Unknown(skeletal remains),Hyperthermia,Digestive bleeding,Injuries from boat motor,Fall from boat"
Mediterranean,Drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
US-Mexico Border,Unknown (skeletal remains),"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
Mediterranean,Presumed drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
Middle East,Air strike,"Hypothermia,Drowning,Air strike,Vehicle Accident,Shot,Struck by artillery shells,Hit by vehicle,Unknown(skeletal remains),Struck by lightning bolt,Violence,Killed by mortar shell,Starvation,Dehydration,Harsh weather/lack of adequate shelter,Stabbed,Sickness and lack of access to medicines,Plane stowaway,Excessive Physical Abuse,Exposure,Malnutrition,Killed by landmine blast"
Mediterranean,Presumed drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
Central America,Fall from train,"Vehicle Accident,Fell from train,Hit by train,Injuries,Murder,Violence,Struck by train,Shot,Drowning,Fall from train,Suicide,Stabbed,Sickness and lack of access to medicines,Cardiac arrest,Tortured,Murdered,Heart attack,Hanging,Pneumonia,Dehydration,Hit by car,Unknown(decomposed remains),Train Accident,Electrocution on railway,Crushed by stones(train),Excessive Physical Abuse, Rape,Asphyxiation,Cervical cancer,Respiratory illness,Pulmonary edema and renal insufficiency,Poison,Murdered,Unknown(found dead next to train tracks),Unknown(skeletal remains),Hyperthermia,Digestive bleeding,Injuries from boat motor,Fall from boat"
Caribbean,Presumed drowning,"Drowning,Vehicle Accident,Shot,Dehydration,Hit by truck,Unknown(found on dinghy),Murdered,Rape"
US-Mexico Border,Drowning,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
US-Mexico Border,Unknown (skeletal remains),"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
Europe,Hit by train,"Shot,Suffocation,Vehicle accident,Exposure,Unknown(decomposed remains),Hit by train,Plane stowaway,Fall into a mountain crevice,Drowning,Hit by vehicle,Electrocution on railway,Hypothermia,Head injury,Violence,Fell from truck,Burned,Fall from vehicle,Fire,Sickness and lack of access to medicines,Murdered,Exhaustion,Rockslide,Crushed by bus,Hit by truck,Asphyxiation,Crushed in back of truck,Fall,Hypoglycemia,Train Accident,Electrocution,Fall from train,Suicide,Hit by car,Accident(non-vehicle),Crushed,Organ failure,Cardiac arrest,Fall onto train tracks,Harsh conditions,Hyperthermia"
North Africa,Shot,"Hypothermia,Dehydration,Drowning,Vehicle accident,Shot,Hit by truck,Exhaustion,Plane stowaway,Violence,Sickness and lack of access to medicines,Hit by vehicle,Excessive Physical Abuse,Sexual abuse,Harsh weather/lack of adequate shelter,Suffocation,Starvation,Stabbed,Fall from steep slope,Unknown(decomposed remains),Fall from vehicle,Malnutrition,Murdered,Crushed in back of truck,Hyperthermia"
US-Mexico Border,Unknown (skeletal remains),"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
US-Mexico Border,Unknown (skeletal remains),"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
US-Mexico Border,Unknown,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
South Asia,Vehicle Accident,"Vehicle Accident,Sickness and lack of access to medicines,Starvation,Harsh weather/lack of adequate shelter,Dehydration,Shot,Stabbed,Cardiac arrest,Suffocation,Sexual abuse,Killed by landmine blast,Excessive Physical Abuse,Harsh conditions"
Mediterranean,Presumed drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
US-Mexico Border,Unknown (skeletal remains),"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
US-Mexico Border,Unknown (skeletal remains),"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
US-Mexico Border,Unknown (skeletal remains),"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
Central America,Stabbed,"Vehicle Accident,Fell from train,Hit by train,Injuries,Murder,Violence,Struck by train,Shot,Drowning,Fall from train,Suicide,Stabbed,Sickness and lack of access to medicines,Cardiac arrest,Tortured,Murdered,Heart attack,Hanging,Pneumonia,Dehydration,Hit by car,Unknown(decomposed remains),Train Accident,Electrocution on railway,Crushed by stones(train),Excessive Physical Abuse, Rape,Asphyxiation,Cervical cancer,Respiratory illness,Pulmonary edema and renal insufficiency,Poison,Murdered,Unknown(found dead next to train tracks),Unknown(skeletal remains),Hyperthermia,Digestive bleeding,Injuries from boat motor,Fall from boat"
US-Mexico Border,Dehydration,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
Central America,Fall from train,"Vehicle Accident,Fell from train,Hit by train,Injuries,Murder,Violence,Struck by train,Shot,Drowning,Fall from train,Suicide,Stabbed,Sickness and lack of access to medicines,Cardiac arrest,Tortured,Murdered,Heart attack,Hanging,Pneumonia,Dehydration,Hit by car,Unknown(decomposed remains),Train Accident,Electrocution on railway,Crushed by stones(train),Excessive Physical Abuse, Rape,Asphyxiation,Cervical cancer,Respiratory illness,Pulmonary edema and renal insufficiency,Poison,Murdered,Unknown(found dead next to train tracks),Unknown(skeletal remains),Hyperthermia,Digestive bleeding,Injuries from boat motor,Fall from boat"
Europe,Drowning,"Shot,Suffocation,Vehicle accident,Exposure,Unknown(decomposed remains),Hit by train,Plane stowaway,Fall into a mountain crevice,Drowning,Hit by vehicle,Electrocution on railway,Hypothermia,Head injury,Violence,Fell from truck,Burned,Fall from vehicle,Fire,Sickness and lack of access to medicines,Murdered,Exhaustion,Rockslide,Crushed by bus,Hit by truck,Asphyxiation,Crushed in back of truck,Fall,Hypoglycemia,Train Accident,Electrocution,Fall from train,Suicide,Hit by car,Accident(non-vehicle),Crushed,Organ failure,Cardiac arrest,Fall onto train tracks,Harsh conditions,Hyperthermia"
US-Mexico Border,Unknown,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
Mediterranean,Fall from truck,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
Europe,Hypothermia and exhaustion,"Shot,Suffocation,Vehicle accident,Exposure,Unknown(decomposed remains),Hit by train,Plane stowaway,Fall into a mountain crevice,Drowning,Hit by vehicle,Electrocution on railway,Hypothermia,Head injury,Violence,Fell from truck,Burned,Fall from vehicle,Fire,Sickness and lack of access to medicines,Murdered,Exhaustion,Rockslide,Crushed by bus,Hit by truck,Asphyxiation,Crushed in back of truck,Fall,Hypoglycemia,Train Accident,Electrocution,Fall from train,Suicide,Hit by car,Accident(non-vehicle),Crushed,Organ failure,Cardiac arrest,Fall onto train tracks,Harsh conditions,Hyperthermia"
Mediterranean,Drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
Horn of Africa,Drowning,"Drowning,Vehicle Accident,Dehydration,Starvation,Sickness and lack of access to medicines,Sexual abuse,Excessive Physical Abuse,Shot,Stabbed,Harsh weather/lack of adequate shelter,Attacked by Apache helicopter"
North Africa,Drowning,"Hypothermia,Dehydration,Drowning,Vehicle accident,Shot,Hit by truck,Exhaustion,Plane stowaway,Violence,Sickness and lack of access to medicines,Hit by vehicle,Excessive Physical Abuse,Sexual abuse,Harsh weather/lack of adequate shelter,Suffocation,Starvation,Stabbed,Fall from steep slope,Unknown(decomposed remains),Fall from vehicle,Malnutrition,Murdered,Crushed in back of truck,Hyperthermia"
Central America,Fall from train,"Vehicle Accident,Fell from train,Hit by train,Injuries,Murder,Violence,Struck by train,Shot,Drowning,Fall from train,Suicide,Stabbed,Sickness and lack of access to medicines,Cardiac arrest,Tortured,Murdered,Heart attack,Hanging,Pneumonia,Dehydration,Hit by car,Unknown(decomposed remains),Train Accident,Electrocution on railway,Crushed by stones(train),Excessive Physical Abuse, Rape,Asphyxiation,Cervical cancer,Respiratory illness,Pulmonary edema and renal insufficiency,Poison,Murdered,Unknown(found dead next to train tracks),Unknown(skeletal remains),Hyperthermia,Digestive bleeding,Injuries from boat motor,Fall from boat"
US-Mexico Border,Drowning,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
Europe,Vehicle Accident,"Shot,Suffocation,Vehicle accident,Exposure,Unknown(decomposed remains),Hit by train,Plane stowaway,Fall into a mountain crevice,Drowning,Hit by vehicle,Electrocution on railway,Hypothermia,Head injury,Violence,Fell from truck,Burned,Fall from vehicle,Fire,Sickness and lack of access to medicines,Murdered,Exhaustion,Rockslide,Crushed by bus,Hit by truck,Asphyxiation,Crushed in back of truck,Fall,Hypoglycemia,Train Accident,Electrocution,Fall from train,Suicide,Hit by car,Accident(non-vehicle),Crushed,Organ failure,Cardiac arrest,Fall onto train tracks,Harsh conditions,Hyperthermia"
Mediterranean,Presumed drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
Mediterranean,Unknown,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
Mediterranean,Starvation,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
US-Mexico Border,Drowning,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
Europe,Drowning,"Shot,Suffocation,Vehicle accident,Exposure,Unknown(decomposed remains),Hit by train,Plane stowaway,Fall into a mountain crevice,Drowning,Hit by vehicle,Electrocution on railway,Hypothermia,Head injury,Violence,Fell from truck,Burned,Fall from vehicle,Fire,Sickness and lack of access to medicines,Murdered,Exhaustion,Rockslide,Crushed by bus,Hit by truck,Asphyxiation,Crushed in back of truck,Fall,Hypoglycemia,Train Accident,Electrocution,Fall from train,Suicide,Hit by car,Accident(non-vehicle),Crushed,Organ failure,Cardiac arrest,Fall onto train tracks,Harsh conditions,Hyperthermia"
US-Mexico Border,Unknown,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
North Africa,Unknown,"Hypothermia,Dehydration,Drowning,Vehicle accident,Shot,Hit by truck,Exhaustion,Plane stowaway,Violence,Sickness and lack of access to medicines,Hit by vehicle,Excessive Physical Abuse,Sexual abuse,Harsh weather/lack of adequate shelter,Suffocation,Starvation,Stabbed,Fall from steep slope,Unknown(decomposed remains),Fall from vehicle,Malnutrition,Murdered,Crushed in back of truck,Hyperthermia"
Sub-Saharan Africa,Sickness,"Shot,Vehicle accident,Drowning,Sickness and lack of access to medicine,Thirst,Unknown(mummified remains),Dehydration,Starvation,Suffocation,Harsh weather/lack of adequate shelter,Stabbed,Sexual abuse,Excessive Physical Abuse,Malnutrition,Violence while attempting to board boat,Killed by hippoptamus,Post-partum complications,Exposure"
Mediterranean,Drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
Mediterranean,Drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
North Africa,Hit by truck,"Hypothermia,Dehydration,Drowning,Vehicle accident,Shot,Hit by truck,Exhaustion,Plane stowaway,Violence,Sickness and lack of access to medicines,Hit by vehicle,Excessive Physical Abuse,Sexual abuse,Harsh weather/lack of adequate shelter,Suffocation,Starvation,Stabbed,Fall from steep slope,Unknown(decomposed remains),Fall from vehicle,Malnutrition,Murdered,Crushed in back of truck,Hyperthermia"
US-Mexico Border,Dehydration,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
Europe,Suffocation,"Shot,Suffocation,Vehicle accident,Exposure,Unknown(decomposed remains),Hit by train,Plane stowaway,Fall into a mountain crevice,Drowning,Hit by vehicle,Electrocution on railway,Hypothermia,Head injury,Violence,Fell from truck,Burned,Fall from vehicle,Fire,Sickness and lack of access to medicines,Murdered,Exhaustion,Rockslide,Crushed by bus,Hit by truck,Asphyxiation,Crushed in back of truck,Fall,Hypoglycemia,Train Accident,Electrocution,Fall from train,Suicide,Hit by car,Accident(non-vehicle),Crushed,Organ failure,Cardiac arrest,Fall onto train tracks,Harsh conditions,Hyperthermia"
Mediterranean,Collision,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
US-Mexico Border,Drowning,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
